﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5CKM2ikjVTa6Y8bX6jKsar","Private Island","Strehlow","Sleep in, Love","1","4","103087","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6P2QhqPjwompubGtRyN7Kp","Levitate","junior state","Levitate","1","3","175945","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1aeTr5rN9suNZU3wbxmRDM","Effervescent","Toonorth","Ambedo","1","3","137142","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1yrZp8B0mLT18RuZccaDBJ","Perspective","Barnes Blvd.","Chillhop Daydreams","1","6","100250","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:42GhletESlrhyhtFkjkf6Q","Voyage","Leavv","Mind Garden","1","2","139275","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1oAZDPOn9Pz3980GjdjxOi","Indelible","Oddfish","Indelible","1","1","139604","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0rP97QmzKcTCQedkOKk4EI","Foggy Road","Toonorth","Ambedo","1","6","162077","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3EB629GKclrdBBMJStxs6y","Sunsets","Aso","Chillhop Essentials Spring 2019","1","6","177312","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3hHlNvlnK6MUo4wuX0JLKN","LuvnYou","Ian Ewing","LuvnYou","1","1","194728","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4k6rcq6XuJqlTfzpUxQvLn","Remember","Miscél","Chillhop Daydreams 2","1","16","105500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5SOAzRfYOgpPxoxaUgZO0M","Tin Toys","Dontcry, Nokiaa","Stray","1","3","139839","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3Cmt7jCwSdroaNwCgif7BJ","Purple","Dontcry, Nokiaa","Stray","1","2","113868","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0LQZCArvqeZ66fW557Cbi0","Still Shining","Badsummer","Chillhop Essentials Summer 2017","1","10","141000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:08lctzE8dgIbSfyz84XHNr","I Wish I Could Sleep","Nymano","Chillhop Essentials Winter 2016","1","7","119754","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:18NBwccM1sFW7t1lixlBHN","Driftwood","Leavv","Chillhop Essentials Summer 2019","1","23","163571","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2ejrXG08bdaG1bVvHkJwz9","Eastway","Dontcry, Nokiaa","Stray","1","4","146666","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:37Ir6FaqKdRxH6slYwMjC9","The Oldest Man In The Room","Yasper, Louk","Build","1","7","216000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2lLdlshOROCDbFedbUhoPQ","Lower East Late Summer","auv","Chillhop Daydreams 2","1","24","233500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0OCblqLsoKvZqUgyoAs99x","Spring","Miscél, Swørn","The Other Side","1","4","124000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:69wc8OGGiA65yNUNXo1XcX","Rain","Psalm Trees, Guillaume Muschalle","Céleste","1","1","151898","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6ICQOFb9qCzkof47bvssBk","Bistro (Intro)","Plusma","Chillhop Raw Cuts","1","1","135000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2DaU2kOcKjmml94D9EFYZE","what will you do?","less.people","self reflection","1","1","186370","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:7bXZgpxlT5NVHwfF5tVPGZ","Kakuna","glue70","Chillhop Raw Cuts","1","2","128181","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1cL8Uwf50RQTjNNrsRe1cX","Lazy French Beagles","Psalm Trees, Guillaume Muschalle","Chillhop Daydreams 2","1","22","168000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4bG8pVAD9BA3S8qFeRvVYZ","Twrk","Tesk","Spotless Minds","1","5","152987","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2fe48P5TPtwvF8DqaKY3Cu","The Gentle Instrumental","Ol' Burger Beats","Chillhop Essentials Summer 2016","1","17","155525","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4OQCm6H7cjrXbcgRYvKtyN","Freedom","Juan Rios","Chillhop Raw Cuts","1","7","166118","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1D6H7ijYv3UR7qMOBbYlvd","Woodnot","Shopan","Chillhop Essentials Fall 2019","1","2","212177","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1ariGca9tDr53GZJ0NF0lU","Love","Miscél","The Other Side","1","2","100000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3K5Gqh7UtYJp8MYaAIMWqd","Céleste","Psalm Trees, Guillaume Muschalle","Céleste","1","3","144905","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0AwirBt6pSC9z4WSH7aWG3","Missing You","C Y G N","Discover","1","5","117500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4P8318IOqOxFGQhdUUeRw2","Oceans","Miscél","The Other Side","1","3","80000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:31WTCazn7ReY8pGpcWzfOZ","landrace","invention_","landrace","1","1","146000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:3XF607DG65rCl2tPoTSxW6","Clouds","Miscél, Hanz","The Other Side","1","1","125000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5c2YD738H9Jwmfw44J2N2g","Sombre","Psalm Trees, Guillaume Muschalle","Céleste","1","4","155844","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:18otUbtXQEwhOa1UqM89U3","Birds","Misha, Monma","Aura","1","9","173812","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1k5E9ztZXfO2pY5ly73shO","for when it's warmer","Sleepy Fish","Chillhop Essentials Summer 2019","1","2","216428","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2fS7CFYQU7GIHqWNZJoyKl","Woods","Miscél","The Other Side","1","5","108250","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5fK0ahkenFhmXnzrNm7G7F","Poke Date","Strehlow, Ian Ewing","Chillhop Essentials Spring 2019","1","16","131000","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6mCDqttlC1WT60sS1sgiV6","Davita","Kyle McEvoy, Stan Forebee","Bloom","1","1","115535","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6u75w721lUNNuXcV9ywpD1","Onteora Lake","Kyle McEvoy, Stan Forebee","Bloom","1","2","120833","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:5o2taz4VowbgdqKg6VC3gE","Cambria","Ian Ewing","Always Home","1","1","175617","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6tdYNXT46vIsU3qkAWCZUj","Homecoming","Kyle McEvoy, Stan Forebee","Bloom","1","5","188992","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0MDxi9pB8WhAN0CowRHxOf","Sand Under My Feet","SAINT WKND, No Spirit","Chillhop Essentials Summer 2019","1","17","231428","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0iifYU68jMUJOXZBDOy1RN","Astro Love","C Y G N","Discover","1","10","192500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0YUlUyJ0wNr0dOuhWq5sPH","Bloom","Kyle McEvoy, Stan Forebee","Bloom","1","4","182874","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:31pi9SBCbZdzkNbbtZ61UM","Belly Breathing","Birocratic","Chillhop Essentials Fall 2018","1","1","172584","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0E8IUQ6U20nbu7ErUSQWEE","Drive Home","Shy Cope","Drive Home","1","1","133531","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4ioIoCW5zpdqHM1HUiZvJ3","Action","Allem Iversom","Notes","1","1","154450","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:4bXePAIKpIsJn76EMNIoW0","Memories.","chromonicci","Chillhop Essentials Fall 2019","1","3","186333","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1gOdqsAxMgkhIOM8LkuHXj","Tumble's Lullaby","Kyle McEvoy, Stan Forebee","Bloom","1","3","212695","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6jInavnstNIC9tjcKPKcUI","Procrastinating","Sleepy Fish","My Room Becomes The Sea","1","1","185500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6ERATF7nIRg18tqGvSAORn","Know About It","C Y G N","Discover","1","2","168500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:1eYTN19ZXz0i9iuIX2TD5U","Wildflower","Joe Corfield","Chillhop Essentials Spring 2018","1","17","147583","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:6xZWNYuoNPDOJnH8ez4Ydc","Vibin' Out","Ruck P","Vibin' Out","1","1","227500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:0Ueq7HrYgIzQ8wcIW6Duzg","Levitating","invention_","Chillhop Essentials Spring 2019","1","17","179500","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:2B2DoTt6xuP1NrR7pKZBR8","Hideout","Tesk","Hideout","1","1","131443","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
"spotify:track:7BEA0aIXF1nTvOK9zVcVkm","Interstellar","Arbour, drkmnd","Interstellar","1","1","164800","spotify:user:chillhopmusic","2020-01-21T10:53:32Z"
